ClaimNum,CatastropheCode,RiskDescription,loss_amount,CurrencyDesc,LossDate,Year,Annual_mean_max_C,Annual_total_mm,temp_std,rain_std,SSI
1320.0,2025 Feb flooding,Houseowners Combined,24017.5,PULA,2025-02-19,2025,29.9,284.0,1.7448123043136323,-0.975405633168979,1.8601089687413057
1321.0,2025 Feb flooding,Houseowners Combined,1545.95,PULA,2025-02-19,2025,27.8,639.6,-0.8425972859099945,1.051146731752721,-0.44687200883135775
1322.0,2025 Feb flooding,Houseowners Combined,236941.66,PULA,2025-02-19,2025,29.9,284.0,1.7448123043136323,-0.975405633168979,1.8601089687413057
1323.0,2025 Feb flooding,Private Motor,33081.07,PULA,2025-02-19,2025,28.2,336.8,-0.34975736396263823,-0.6745002201547333,0.6623714280960475
1324.0,2025 Feb flooding,Private Motor,11389.52,PULA,2025-02-19,2025,28.6,366.7,0.14308255798472239,-0.5041011321031057,0.823591845043914
1325.0,2025 Feb flooding,Motor Scheme,350000.0,PULA,2025-02-19,2025,28.6,301.5,0.14308255798472239,-0.8756737254464544,1.0093781417155885
1326.0,2025 Feb flooding,Houseowners Combined,18143.88,PULA,2025-02-20,2025,28.1,284.1,-0.4729673444494751,-0.9748357365534216,0.7509341960519732
1327.0,2025 Feb flooding,Plant All Risks,85726.0,PULA,2025-02-21,2025,27.4,810.4,-1.335437207857355,2.024530151124561,-1.179983679490958
1330.0,2025 Feb flooding,Houseowners Combined,350000.0,PULA,2025-02-19,2025,28.1,284.1,-0.4729673444494751,-0.9748357365534216,0.7509341960519732
1331.0,2025 Feb flooding,Houseowners Combined,24704.0,PULA,2025-02-19,2025,26.8,853.1,-2.0746970907783893,2.267876005967521,-1.671286548372955
1332.0,2025 Feb flooding,Houseowners Combined,12367.35,PULA,2025-02-19,2025,29.1,357.3,0.7591324604189199,-0.5576714139654902,1.1584019371922052
1334.0,2025 Feb flooding,Houseowners Combined,78350.98,PULA,2025-02-19,2025,28.0,509.4,-0.5961773249363164,0.3091413382971377,0.047340668383272944
1335.0,2025 Feb flooding,Private Motor,437966.97,PULA,2025-02-19,2025,27.8,567.0,-0.8425972859099945,0.6374017888581331,-0.23999953738406382
1337.0,2025 Feb flooding,Houseowners Combined,350000.0,PULA,2025-02-19,2025,27.4,810.4,-1.335437207857355,2.024530151124561,-1.179983679490958
1338.0,2025 Feb flooding,Houseowners Combined,5505.0,PULA,2025-02-19,2025,27.9,636.8,-0.7193873054231575,1.0351896265171168,-0.37728846597013715
1339.0,2025 Feb flooding,Houseowners Combined,33001.62,PULA,2025-02-19,2025,29.1,209.8,0.7591324604189199,-1.3982689219124833,1.5787006911657016
1340.0,2025 Feb flooding,Houseowners Combined,7980.0,PULA,2025-02-19,2025,27.1,539.4,-1.70506714931787,0.48011032296432277,-0.5925887361410964
1341.0,2025 Feb flooding,Houseowners Combined,21293.5,PULA,2025-02-20,2025,27.6,731.1,-1.0890172468836725,1.5726021349876353,-0.8308096909356539
1342.0,2025 Feb flooding,Houseowners Combined,23432.0,PULA,2025-02-19,2025,27.8,300.9,-0.8425972859099945,-0.8790931051397982,0.518247909614902
1343.0,2025 Feb flooding,Houseowners Combined,186075.28,PULA,2025-02-19,2025,27.8,567.0,-0.8425972859099945,0.6374017888581331,-0.23999953738406382
1344.0,2025 Feb flooding,Houseowners Combined,94237.23,PULA,2025-02-20,2025,27.6,731.1,-1.0890172468836725,1.5726021349876353,-0.8308096909356539
1345.0,2025 Feb flooding,Houseowners Combined,197868.0,PULA,2025-02-19,2025,28.6,366.7,0.14308255798472239,-0.5041011321031057,0.823591845043914
1346.0,2025 Feb flooding,House Contents,25982.0,PULA,2025-02-19,2025,28.6,540.7,0.14308255798472239,0.4875189789665678,0.32778178950907727
1348.0,2025 Feb flooding,Houseowners Combined,69554.91,PULA,2025-02-19,2025,28.8,303.9,0.3895025189584005,-0.8619962066730797,1.12574936281574
1349.0,2025 Feb flooding,Houseowners Combined,5200.0,PULA,2025-02-19,2025,29.1,180.3,0.7591324604189199,-1.566388423501882,1.662760441960401
1351.0,2025 Feb flooding,Houseowners Combined,54282.34,PULA,2025-02-19,2025,29.3,361.4,1.005552421392598,-0.5343056527276417,1.2699290370601197
1352.0,2025 Feb flooding,Motor Specified Individual,11500.0,PULA,2025-02-21,2025,27.6,731.1,-1.0890172468836725,1.5726021349876353,-0.8308096909356539
1353.0,2025 Feb flooding,Houseowners Combined,350000.0,PULA,2025-02-19,2025,29.1,180.3,0.7591324604189199,-1.566388423501882,1.662760441960401
1355.0,2025 Feb flooding,Houseowners Combined,47612.0,PULA,2025-02-19,2025,28.0,509.4,-0.5961773249363164,0.3091413382971377,0.047340668383272944
1356.0,2025 Feb flooding,Houseowners Combined,7925.0,PULA,2025-02-19,2025,29.8,267.9,1.6216023238267956,-1.0671589882737018,1.844380656050249
1357.0,2025 Feb flooding,Houseowners Combined,49225.73,PULA,2025-02-20,2025,27.8,300.9,-0.8425972859099945,-0.8790931051397982,0.518247909614902
1358.0,2025 Feb flooding,Houseowners Combined,84122.5,PULA,2025-02-19,2025,29.9,284.0,1.7448123043136323,-0.975405633168979,1.8601089687413057
1359.0,2025 Feb flooding,Houseowners Combined,41368.62,PULA,2025-02-19,2025,29.1,357.3,0.7591324604189199,-0.5576714139654902,1.1584019371922052
1360.0,2025 Feb flooding,Houseowners Combined,13325.0,PULA,2025-02-20,2025,28.6,366.7,0.14308255798472239,-0.5041011321031057,0.823591845043914
1361.0,2025 Feb flooding,Houseowners Combined,24831.0,PULA,2025-02-19,2025,29.3,361.4,1.005552421392598,-0.5343056527276417,1.2699290370601197
1362.0,2025 Feb flooding,Houseowners Combined,7755.44,PULA,2025-02-21,2025,28.6,540.7,0.14308255798472239,0.4875189789665678,0.32778178950907727
1364.0,2025 Feb flooding,Houseowners Combined,17465.56,PULA,2025-02-19,2025,27.6,731.1,-1.0890172468836725,1.5726021349876353,-0.8308096909356539
1365.0,2025 Feb flooding,Houseowners Combined,48497.3,PULA,2025-02-19,2025,29.1,209.8,0.7591324604189199,-1.3982689219124833,1.5787006911657016
1367.0,2025 Feb flooding,Houseowners Combined,11350.0,PULA,2025-02-19,2025,29.8,267.9,1.6216023238267956,-1.0671589882737018,1.844380656050249
1369.0,2025 Feb flooding,Houseowners Combined,32512.94,PULA,2025-02-19,2025,28.1,600.1,-0.4729673444494751,0.826037568607594,-0.14950245652853456
1371.0,2025 Feb flooding,Houseowners Combined,7753.3,PULA,2025-02-19,2025,27.4,810.4,-1.335437207857355,2.024530151124561,-1.179983679490958
1372.0,2025 Feb flooding,House Contents,15432.61,PULA,2025-02-19,2025,27.8,567.0,-0.8425972859099945,0.6374017888581331,-0.23999953738406382
1373.0,2025 Feb flooding,Motor Specified Individual,389600.54,PULA,2025-02-19,2025,29.1,209.8,0.7591324604189199,-1.3982689219124833,1.5787006911657016
1374.0,2025 Feb flooding,Houseowners Combined,8181.0,PULA,2025-02-19,2025,29.9,414.7,1.7448123043136323,-0.23055075663560964,1.487681530474621
1375.0,2025 Feb flooding,Houseowners Combined,16126.51,PULA,2025-02-20,2025,28.1,284.1,-0.4729673444494751,-0.9748357365534216,0.7509341960519732
1377.0,2025 Feb flooding,Houseowners Combined,8801.8,PULA,2025-02-19,2025,29.1,544.5,0.7591324604189199,0.5091750503577444,0.6249787050305877
1378.0,2025 Feb flooding,Houseowners Combined,13334.2,PULA,2025-02-19,2025,28.6,540.7,0.14308255798472239,0.4875189789665678,0.32778178950907727
1379.0,2025 Feb flooding,Houseowners Combined,25915.4,PULA,2025-02-20,2025,27.8,567.0,-0.8425972859099945,0.6374017888581331,-0.23999953738406382
1380.0,2025 Feb flooding,Houseowners Combined,14862.0,PULA,2025-02-19,2025,28.2,336.8,-0.34975736396263823,-0.6745002201547333,0.6623714280960475
